system:index,pr,.geo
0_0,97.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,180.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,82.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,104.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,99.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,75.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,79.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,110.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,77.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,73.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,95.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,96.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,89.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,89.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,96.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,103.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,88.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,78.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,146.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,113.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,86.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,79.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,74.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,64.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,90.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,92.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,131.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,179.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,86.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,73.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,92.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,99.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,65.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,148.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,85.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,114.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,91.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,110.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,96.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,90.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,56.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,78.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,60.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,139.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,79.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,95.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,80.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,76.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,86.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,122.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,110.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,105.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,138.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,98.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,109.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,73.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,127.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,178.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,95.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,77.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,173.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,74.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,83.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,106.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,69.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,60.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,98.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,105.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,93.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,99.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,93.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,87.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,122.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,132.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,130.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,76.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,85.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,118.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,92.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,86.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,85.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,76.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,74.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,76.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,92.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,79.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,107.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,79.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,141.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,129.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,81.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,88.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,151.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,145.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,55.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,118.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,82.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,58.666666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,108.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,56.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,113.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,98.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,93.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,99.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,108.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,77.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,105.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,63.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,127.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,92.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,58.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,95.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,160.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,68.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,94.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,74.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,97.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,95.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,68.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,129.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,73.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,101.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,122.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,80.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,91.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,83.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,125.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,97.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,61.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,77.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,79.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,135.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,69.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,74.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,128.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,61.666666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,176.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,145.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,105.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,62.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,87.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,79.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,57.666666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,58.666666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,112.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,122.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,117.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,90.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,82.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,141.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,152.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,88.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,109.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,92.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,70.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,119.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,72.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,88.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,87.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,92.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,72.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,101.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,77.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,76.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,76.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,121.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,150.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,63.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,75.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,70.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
170_0,116.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,66.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,103.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,78.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
174_0,90.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,163.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,116.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
177_0,93.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
178_0,80.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,131.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
180_0,81.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
181_0,71.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
182_0,130.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
183_0,77.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
184_0,124.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
185_0,117.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
186_0,79.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,86.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
188_0,171.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
189_0,90.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
190_0,53.666666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
191_0,101.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
192_0,122.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,78.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
194_0,79.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195_0,107.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196_0,75.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,164.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
198_0,127.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
199_0,84.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
200_0,102.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
201_0,79.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
202_0,91.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
203_0,74.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
204_0,107.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
205_0,77.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
206_0,71.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
207_0,131.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
208_0,105.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
209_0,98.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,73.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,60.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,59.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
213_0,112.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
214_0,76.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
215_0,153.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
216_0,69.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
217_0,95.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
218_0,65.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
219_0,75.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
220_0,84.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,91.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
222_0,107.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,115.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
224_0,94.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
225_0,62.666666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,95.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
227_0,59.666666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
228_0,100.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
229_0,129.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
230_0,134.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,77.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
232_0,98.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
233_0,81.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,97.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
235_0,79.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
236_0,70.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
237_0,58.666666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
238_0,89.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
239_0,178.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
240_0,130.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
241_0,96.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
242_0,65.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
243_0,85.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
244_0,63.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
245_0,90.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
246_0,55.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
247_0,93.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
248_0,91.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
249_0,83.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
250_0,92.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
251_0,65.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
252_0,80.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
253_0,82.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
254_0,98.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
255_0,78.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
256_0,85.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
257_0,106.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
258_0,113.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
259_0,106.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
260_0,69.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
261_0,88.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
262_0,92.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
263_0,94.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
264_0,98.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
265_0,61.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
266_0,150.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
267_0,158.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
268_0,100.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
269_0,58.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
270_0,115.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
271_0,82.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
272_0,156.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
273_0,74.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
274_0,67.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
275_0,57.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
276_0,79.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
277_0,79.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
278_0,71.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
